SMILES,Flavor_Description,Classification
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCCCC,citrus,1.0
CNC1=CC=CC=C1C(=O)OC,sweet,1.0
CC1=CC(=C(C=C1)C(=O)C)C,mint,0.0
CC1CCC(C(=O)C1)C(C)C,mint,0.0
CC1=CC(=O)C(CC1)C(C)C,mint,0.0
CC1CCC(=C(C)C)C(=O)C1,grass,0.0
CC1=CC(=C(C=C1)C(C)C)O,spicy,1.0
C1=CC=C(C=C1)C2=CC=CC=C2O,bitter,0.0
COC1=C(C(=CC=C1)OC)O,woody,1.0
C1=CC=C2C(=C1)C=CC=N2,balsamic,0.0
C1=CC=C(C=C1)C2=CC=CC=C2,rose,1.0
CC(=O)C1=CC2=CC=CC=C2C=C1,orange blossom,1.0
COC1=C(C=C(C=C1)CC=C)OC,floral; rose,1.0
CC(=O)OC1=C(C=C(C=C1)CC=C)OC,cloves,1.0
CC=CC1=CC(=C(C=C1)OC(=O)C)OC,cloves,1.0
CC1=CC(=C(C=C1)O)OC,vanilla; sweet,1.0
CC(C=O)C1=CC=CC=C1,vegetable,0.0
COC(=O)C1=CN=CC=C1,tobacco,0.0
C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,camomile,0.0
C1=CC=C2C(=C1)N=CS2,gasoline,0.0
CCC(C)CN,fishy,0.0
CCC(C)C=O,almond,1.0
C1CC(=O)OC1,caramellic,0.0
CC1=CCC(CC1OC(=O)C)C(=C)C,mint,0.0
CCC(=O)OC1CC(CC=C1C)C(=C)C,mint,0.0
CCCCOC(=O)C(C)C,fruity,1.0
C1=COC(=C1)CO,burnt,0.0
C1=COC(=C1)C=O,almond,1.0
CC(=O)C1=CC=CC=C1,no aroma,0.0
C1CCC(CC1)C(=O)O,fruity,1.0
CC1=CCC(CC1O)C(=C)C,mint,0.0
CC1=CCC(C=C1)C(C)C,herbaceous,0.0
CC1=CCC(=CC1)C(C)C,pine,0.0
CC1=CC=C(CC1)C(C)C,pine,0.0
CC1=CC=C(C=C1)C(C)C,citrus,1.0
COC1=CC=C(C=C1)C(=O)O,no aroma,0.0
C1=CC=C(C=C1)CS,fruity,1.0
CC(C)(CC1=CC=CC=C1)O,herbaceous,0.0
C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,fruity; almond,1.0
C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,rose,1.0
CC(C)(CCC1=CC=CC=C1)O,rose; sweet,1.0
COC(=O)CCC1=CC=CC=C1,rose; fruity,1.0
CC(C)C(=O)OCC1=CC=CC=C1,fruity; floral,1.0
CCCC(=O)OCC1=CC=CC=C1,fruity,1.0
CC(C)CC(=O)OCC1=CC=CC=C1,apple,1.0
CC(C)C(=O)OCCC1=CC=CC=C1,fruity; rose,1.0
C1=CC=C(C=C1)COCC2=CC=CC=C2,no aroma,0.0
CCCC(=O)OCCC1=CC=CC=C1,fruity,1.0
CCC(=O)OCC=CC1=CC=CC=C1,fruity; floral,1.0
CC1=CC=C(C=C1)OC(=O)C(C)C,fruity,1.0
CC(=O)OCC1=CC=C(C=C1)OC,balsamic,0.0
CCCC1=CC=C(C=C1)OC,herbaceous,0.0
C1=CC=C(C=C1)CCC=O,floral,1.0
C1=CC=C(C=C1)COC=O,floral; fruity,1.0
CCCCCC1CCC(=O)O1,coconut,1.0
CCCCCCCC1CCC(=O)O1,fruity,1.0
CC1=CC=C(C=C1)OC,sweet,1.0
COC1=CC=C(C=C1)CO,sweet; floral,1.0
CCOC(=O)CC(=O)OCC,fruity,1.0
CCOC(C)OCC,fruity,1.0
C1CCC(=O)NCC1,spicy,1.0
CC(CCC=C(C)C)CCOC=O,floral,1.0
CC(=CCCC(=CCOC(=O)C)C)C,floral,1.0
CC(C)CCCC(C)CCO,rose,1.0
CC(CCC=C(C)C)CC=O,lemon,1.0
CCCN,no aroma,0.0
CC1=NC(=CC=C1)C,potato,0.0
CC1=CN=CC(=N1)C,coffee,0.0
CC(C)CC(=O)CC(C)C,menthol,0.0
CC1=CC=NC=C1,coffee,0.0
C1CCC(=O)CC1,mint,0.0
CCCCOC(=O)CC(C)C,fruity,1.0
CCCCOC(=O)CCC,floral,1.0
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,fruity,1.0
CCCCC(=O)O,acid,0.0
CCCCN,fishy; ammonia,0.0
CCCCS,fruity,1.0
C1=CSC=C1,garlic,0.0
CCCCCCCCCC(=O)OCC,grape,1.0
CCCCCCCCCC(=O)OC,grape,1.0
CCCCCC(=O)C,spicy,1.0
CCCCCN,no aroma,0.0
CCCCCS,meaty,0.0
CCSSCC,cabbage,0.0
CCCCCCC(=O)C,apple,1.0
CCCCCCC(=O)O,sour,0.0
CCCCCCN,fishy,0.0
CCCCCCC=C,petroleum,0.0
CCCCCCCO,grass,0.0
CCCCCCC=O,citrus,1.0
CCCCCCCCCCCC(=O)OC,floral,1.0
CCCCCCCCCCOC(=O)C,orange; rose,1.0
CCCCCCCCCCO,fruity,1.0
CCCCCCCCCC=O,orange,1.0
CCCCCCCCCCC(=O)O,fatty,0.0
CCCCCCCCCCCCCCCC(=O)OC,waxy,0.0
CCCCCCCCCCC=O,oily,0.0
CCCCCCCCCCCCOC(=O)C,citrus; rose,1.0
CC(=CCCC1(C2CC3C1(C3C2)C)C)CO,sweet,1.0
CC(=CCCC(C)(C=C)OC(=O)C)C,fruity,1.0
CCC(C)C(=O)O,grass,0.0
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,floral,1.0
C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,balsamic,0.0
C1=CC=C2C=NC=CC2=C1,herbaceous,0.0
C1CCC(=O)C1,mint,0.0
CCOC1=C(C=CC(=C1)C=O)O,vanilla,1.0
COC1=C(C=CC(=C1)C(=O)O)O,vanilla,1.0
CC1=CC=C(C=C1)C(=O)C,fruity,1.0
COC(=O)C1=CC=CC=C1N,orange,1.0
CCCCC(CC)C(=O)O,fruity,1.0
CCCCOC(=O)C(C)O,butter,0.0
CC(=C)C1CCC(CC1)(C)O,sweet,1.0
CC(CCC=C(C)C)CCOC(=O)CC1=CC=CC=C1,rose,1.0
CC(=O)OCC1=CC=CC=C1,floral; jasmine,1.0
CC(C)CC(=O)OCCC1=CC=CC=C1,fruity; rose,1.0
CC1=CC=C(C=C1)OC(=O)C,floral,1.0
CCOC(=O)C=C,fruity,1.0
CC(C)COC(=O)CCCCC(=O)OCC(C)C,bland,0.0
CCC(=O)OCCC(C)CCC=C(C)C,fruity; rose,1.0
CCCC(=O)OCCC(C)CCC=C(C)C,rose,1.0
CC(CCC=C(C)C)CCO,rose,1.0
CC(CCCC(C)(C)O)CC(OC)OC,floral; jasmine,1.0
CCCCCC(=O)O,sweet,1.0
CCCCCCOC(=O)C,fruity,1.0
CCCCCCCCCO,rose; citrus,1.0
C1=CC=C(C=C1)CSSCC2=CC=CC=C2,caramellic,0.0
CC(CCC=C(C)C)CCOC(=O)C,fruity,1.0
CC(=O)OC(C)(C)CC1=CC=CC=C1,fruity,1.0
COC1=CC(=CC=C1)OC,nutty,1.0
C1=CN=CC=N1,corn,0.0
CC(=O)C1=CN=CC=C1,popcorn,0.0
CC(=CCCC(=O)C)C,grass,0.0
CC1=C(C(CCC1)(C)C)C=O,camphoraceous,0.0
CC(C)C12CCC(O1)(CC2)C,camphoraceous,0.0
COC1=CC(=CC(=C1OC)OC)CC=C,spicy; floral,1.0
CC=C(C)C=O,ethereal,0.0
CC1=C(C=C(C=C1)C(C)C)O,spicy,1.0
CC(CCC=C(C)C)CC(=O)O,whisky,0.0
CC(C)CC(=O)O,rancid,0.0
C1CSCCS1,no aroma,0.0
CCCC=CC=O,fruity,1.0
C[C@@]12CC[C@H](C1(C)C)C[C@@H]2O,camphoraceous,0.0
CC1=CCC(CC1)C(C)(CCC=C(C)C)O,sweet,1.0
CC1=CC[C@@H]2[C@@H](C1)[C@@H](CC=C2C)C(C)C,oily,0.0
COC1=C2C(=C(C(=C1)CC=C)OC)OCO2,no aroma,0.0
CC(OC)OC,no aroma,0.0
CC1=CC=C(C=C1)C(C)O,camphoraceous,0.0
CC(=C)C1CCC(=CC1)CO,mint,0.0
CCOCC1=CC=CC=C1,fruity,1.0
CCCCCC(=O)OCCCCC,fruity,1.0
CCCC(=O)N,nutty,1.0
CC(=CC(=O)O)C,dairy,0.0
C1CCCC=CCCCCCCCC(=O)CCC1,musky,0.0
CCCCCC(C)O,grass,0.0
CC1C2CC(C2(C)C)CC1=O,camphoraceous,0.0
CC(=O)C1=CC=CC=C1N,spicy; fruity,1.0
CC(C)C1CCC(=C)C=C1,turpentine,0.0
CC(=CCO)C,lavender,1.0
CC1=CCC(CC1)(C(C)C)O,musty,0.0
CC1=CC=CC=C1C(=O)C,coconut,1.0
CC(=O)C(=O)C1=CC=CC=C1,pungent,0.0
CC1=CCC(=C(C)C)CC1,sweet,1.0
CCCC(CCC)O,grass,0.0
CCCCC(CC)O,herbaceous,0.0
CCCCOC(=O)CC,sweet,1.0
CC(C)CC=O,almond,1.0
CC1=CCC(=O)O1,tobacco,0.0
C1CC=CC=C1,lemon,1.0
CCCCN=C=S,fruity,1.0
CC(C=C)O,balsamic,0.0
C1=CC=C(C=C1)C(=O)CN,almond,1.0
CC1CCC(CC1O)C(=C)C,spearmint,0.0
CC1=CC=C(O1)C=O,caramellic,0.0
CC(=O)OC1CCCCC1,no aroma,0.0
CCC=C(C)C=O,fruity,1.0
CSSC,onion,0.0
CCCCCC(=O)OCCCC,floral,1.0
CCCCC(C)O,grass,0.0
CC(C)CCC(C)O,sweet,1.0
COC(=O)CCCCC(=O)OC,alcoholic,0.0
CC(=O)OCC1CCCO1,bread,0.0
CC(C)C1=CC=C(C=C1)C(=O)C,herbaceous,0.0
CC(C)CCOC(=O)CC(C)C,apple,1.0
CSSCC1=CC=CC=C1,no aroma,0.0
CCCCCC1CCCC(=O)O1,butter,0.0
CCCCCCC1CCC(=O)O1,peach,1.0
C1CCC(=O)C(=O)C1,no aroma,0.0
CSCC1=CC=CC=C1,no aroma,0.0
C=CCS,pungent,0.0
C1CC=CC(=O)C1,no aroma,0.0
C1CC(=O)SC1,garlic,0.0
CC(=O)C1=CC=CN1,licorice,1.0
CCCC=CC(=O)C,grass,0.0
CC(=O)C1=CC=CC=N1,popcorn,0.0
CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,sweet,1.0
CC(=O)C1=CC=CO1,coffee,0.0
CC1=CC=C(O1)C(=O)C,nutty,1.0
CC1=CC=C(C=C1)C(C)(C)O,caraway,0.0
CC1(C2CCC(=C)C1C2)C,resinous; pine,0.0
CC1=CC(=C(C=C1)O)C(=O)C,herbaceous,0.0
CC(CC(=O)OC)O,nutty,1.0
CC1(C2CCC(C2)(C1O)C)C,camphoraceous,0.0
CCCCC=CC(=O)C,blueberry,1.0
CCC=CCCOC(=O)C,banana,0.0
CCCCCCCCCC,sweet,1.0
C=CCOC(=O)CC1=CC=CC=C1,honey,1.0
C=CCOC(=O)C=CC1=CC=CC=C1,peach; apricot,1.0
C=CCSSSCC=C,pungent,0.0
CCCC(=O)OCC=C,peach; apricot,1.0
CCCCOC(=O)C1=CC=CC=C1O,fruity,1.0
CCCCOC(=O)CCC(=O)C,fruity,1.0
CC(=C)C1CCC(=CC1)C=O,mint,0.0
CCCSSCC=C,garlic,0.0
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,mint,0.0
CC1=CC[C@@H](CC1=O)C(=C)C,mint,0.0
CCCCCC1=CC=CC=N1,no aroma,0.0
CC(C)C(=O)OCC=C(C)CCC=C(C)C,rose,1.0
CCCCCC=CC=CC=O,seaweed,0.0
CC1CCCC(C1=O)(C)C,tobacco,0.0
CC1=CCC(CC1)C(C)(C)O,mint,0.0
CCCCC=CC=O,almond,1.0
CCCC=CCOC(=O)C,fruity,1.0
CCCCCCOC(=O)CCC,fruity,1.0
CC(=O)NC1=CC=CC=C1C(=O)OC,fruity; grape,1.0
CC1C(=O)CCO1,wintergreen,0.0
C1=CC=C(C=C1)CC(C2=CC=CC=C2)C(=O)O,honey; floral,1.0
CC(C)C12CCC(=C)C1C2,pepper,0.0
CCCCCC(C=C)O,mushroom,0.0
C[C@@H]1CC[C@@H]([C@@H](C1)O)C(C)C,mint,0.0
CC1C(=O)C(=C(O1)C)O,pineapple,1.0
CCCCCC1=CC=CO1,butter,0.0
CC(=CCCC(=CCCC(=O)C)C)C,sweet; rose,1.0
CCCCCCCC=CC=O,orange,1.0
CCCCCCC(C)O,oily,0.0
CCCCCCCC(=O)OCC=C,pineapple,1.0
CCCC(=O)OC1=CC=CC=C1,floral,1.0
C1CCC(CC1)OC=O,cherry,0.0
C1CCC2C(C1)CCC(=O)O2,spicy,1.0
CCCCC1=CC=CO1,spicy,1.0
CC(CCC=C(C)C)O,grass,0.0
C1CCC(C1)C2CCCC2=O,mint,0.0
CCCCC(C=C)O,butter,0.0
CC(=CCOC(=O)C1=CC=CC=C1)C,fruity,1.0
CCCCCCC(=O)OCCCC,fruity,1.0
CC1=NC=CN=C1C,potato,0.0
CC1(CCC(O1)C(C)(C)O)C=C,floral,1.0
CCCC(C)O,lemon,1.0
CCCCCCOC(=O)CCCCC,peach,1.0
CCCCCC(=O)OCC1=CC=CC=C1,jasmine,1.0
CC(=CCCC(C)(C=C)OC(=O)C1=CC=CC=C1N)C,gardenia,0.0
CCCCOC(=O)C(C)OC(=O)CCC,floral,1.0
C=CCOC(=O)COC1=CC=CC=C1,pineapple,1.0
CCCCOC(=O)C1=CC=CC=C1N,floral,1.0
CC1CCC(CC1=O)C(=C)C,mint,0.0
C1CCC(CC1)OC(=O)C2=CC=CC=C2N,orange blossom,1.0
CCCCCCCCCC(OC)OC,citrus; floral,1.0
CC1CCC(C(C1)O)C(=C)C,camphoraceous,0.0
CCCC(=O)OC(C)(C)CC1=CC=CC=C1,fruity,1.0
CN(C)CCC1=CC=CC=C1,sweet,1.0
C=CCCCCCCCCO,fruity,1.0
CCC1=NC=C(N=C1)C,grass,0.0
CCC1=NC(=CN=C1C)C,balsamic,0.0
CC1=CCC2C(C1)C2(C)C,fruity,1.0
CC(C)CC(=O)C(=O)C,butter,0.0
CCC1=NC(=CN=C1)C,potato,0.0
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,mint,0.0
CCCCCC=CC(=O)C,fruity,1.0
CC1=CN=C(C(=N1)C)C,potato,0.0
CC1=CCC(CC1)(C(C)CCC=C(C)C)O,sweet,1.0
CC1(CCCC2(C1=CC(=O)O2)C)C,coumarin,0.0
CCC1=NC=CN=C1C,potato,0.0
CCC1=NC=CN=C1CC,potato,0.0
CC1CCOC(C1)C=C(C)C,rose,1.0
CC1CCC(C(C1)OC(=O)C)C(C)C,mint,0.0
CCC1=NC=C(N=C1CC)C,nutty,1.0
CCC1=CN=C(C(=N1)CC)C,vegetable,0.0
CC1=CC(=O)C2CC1C2(C)C,mint,0.0
CC(=CCC(COC(=O)C)C(=C)C)C,lavender,1.0
CC(=O)OCCC1CCCCC1,sweet; fruity,1.0
CC(=O)C1=NC=CN=C1,popcorn,0.0
CCCCCC(=CC1=CC=CC=C1)C=O,grass,0.0
CCCCOC(=O)CC1=CC=CC=C1,honey; rose,1.0
CCC(=O)OCC1=CC=CC=C1,floral,1.0
CC(=O)CC1=CC=C(C=C1)OC,no aroma,0.0
COC1=CC=C(C=C1)C=O,mint,0.0
CCOC(=O)CCC(=O)OCC,fruity,1.0
CC1=CN=C(C=N1)C,potato,0.0
CC(=CCCC(=C)C=C)C,balsamic,0.0
CCCCCC(=O)OCC,apple,1.0
C1CCNC1,no aroma,0.0
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,fatty,0.0
CCCCOC(=O)C,fruity,1.0
CCCCCCCCCCCCCCCCCC(=O)OCCCC,fruity,1.0
CCCCCCCCC=O,fruity,1.0
CC(=CCCC(C)(C=C)OC(=O)C1=CC=CC=C1)C,gardenia,0.0
CC1=NC=CN=C1C(=O)C,potato,0.0
C(CC(=O)O)[C@@H](C(=O)O)N,bread,0.0
CC(C)C1=NC=CN=C1OC,grass,0.0
CC1=CC=CC=C1OC,grass,0.0
CC1CCC(C(=O)C1)C(=C)C,mint,0.0
CCCC=CCC(=O)O,disagreeable; rancid,0.0
C1CCC2=NC=CN=C2C1,cheese,0.0
CC(=O)OCCCCCCCCC=C,floral,1.0
CCCC(CCC=C)O,fruity,1.0
CC(C)C(=O)OCCC(C)CCC=C(C)C,rose; fruity,1.0
CC1=CC=C(C=C1)OC(=O)CC2=CC=CC=C2,lily,0.0
C1=CC=C(C=C1)CC(=O)OCC2=CC=CC=C2,floral,1.0
CC(=O)CCC1=CC=C(C=C1)OC,vanilla,1.0
C1CCCCCC(=O)OCCOC(=O)CCCCC1,musky,0.0
CCCCCCCCCCCC(=O)OCCCC,fruity,1.0
CC(CCC=C(C)C)C=O,melon,1.0
CC(=CCCC(C)(C=C)OC=O)C,bergamot,0.0
CC1=C(C(CC=C1)(C)C)C=O,tobacco; herbaceous,0.0
COC1=CC=C(C=C1)COC=O,herbaceous,0.0
C[C@@]12CC[C@H](C1(C)C)C[C@H]2O,camphoraceous,0.0
CCC(=O)C=CC1=C(CCCC1(C)C)C,no aroma,0.0
CC(C)C(=O)OCCC(C)CCCC(=C)C,rose; fruity,1.0
CC(C)CC(=O)OCC=CC1=CC=CC=C1,fruity; floral,1.0
CC=CCCCCCCCC=O,no aroma,0.0
CCC(=O)OC(C)(CCC=C(C)C)C=C,fruity,1.0
C[C@]12CC[C@H](C1)C([C@@H]2O)(C)C,camphoraceous,0.0
CC1=CC(C2CC1C2(C)C)O,balsamic,0.0
CCCCOCC1=CC=CC=C1,no aroma,0.0
CCCCC(=O)OCCCC,apple; raspberry,1.0
COC1=CC=CC=C1C(=O)OC,floral,1.0
CC(=O)OC1=CC=CC=C1OC,woody,1.0
CCCCCCCC(=O)OCCCCC,fruity,1.0
CCCC(CC1=CC=CC=C1)O,floral,1.0
CC(=O)OC1=C(C=C(C=C1)C=O)OC,vanilla,1.0
CCCCCCC(=O)CC,fruity,1.0
CC(=CC1=CC=CC=C1)C(=O)C,camphoraceous,0.0
CC1=CCC(C1(C)C)CCO,camphoraceous,0.0
CCC(=O)OCC=C,apple; apricot,1.0
C=CCOC(=O)C1=CC=CO1,fruity,1.0
CCCCCC(=O)C=C,mushroom,0.0
CC(C)C1=CC=C(C=C1)CC=O,woody,1.0
CCCCC1C2=CC=CC=C2C(=O)O1,herbaceous,0.0
CCC(=O)OC1CCCCC1,banana,0.0
CCCCCC(=O)OCCC1=CC=CC=C1,banana,0.0
CCCCCCCCCCCC(=O)OCCC(C)C,fatty,0.0
COC1=C(C=C(C=C1)C=C)OC,floral,1.0
CC(CCC=C(C)C)CCOCC=O,floral,1.0
CCCOC(C)OCCC1=CC=CC=C1,leafy,0.0
CCC(CC)C(=O)OCC=C,fruity,1.0
CCCCCCCCC(=O)OCC=C,pineapple,1.0
CCCCC(=O)OCCC(C)CCC=C(C)C,honey,1.0
CCCCC(=O)O[C@@H]1CC2CCC1(C2(C)C)C,camphoraceous,0.0
CC(C)(CC1=CC=CC=C1)OC=O,floral,1.0
CC1=CC(=C(O1)C)C(=O)C,nutty,1.0
C=CCCCCCCCC(=O)O,fruity,1.0
CCC(C)C1CCCCC1=O,camphoraceous,0.0
CC(=C)C1CCC(=CC1)COC(=O)C,mint,0.0
CC1=CC(=C(C=C1)C=O)C,almond,1.0
CCCCCC=CCCC=O,orange,1.0
CCC1=NC=CN=C1C(=O)C,potato,0.0
CC1=CC=CC=C1OC(=O)C(C)C,fruity,1.0
CC(=CCCC(=CCS)C)C,orange,1.0
CC(=O)C1(CCCCC1)OC(=O)C,honey; floral; fruity,1.0
CC1=CC=C(C=C1)OC(=O)CC(C)C,herbaceous,0.0
CC1(CSC(CS1)(C)O)O,herbaceous,0.0
CCOC(=O)C(C(C(=O)OCC)O)O,winey,0.0
COC1=C(C=CC(=C1)CO)O,vanilla,1.0
COC1=C(C=CC(=C1)CC=C)OC(=O)C2=CC=CC=C2,balsamic,0.0
CC(C)C12CCC(C1C2)(C)O,balsamic,0.0
COC(C1=CC=CC=C1)OC,floral; almond,1.0
CCCCCC1=C(CCC1=O)C,jasmine,1.0
CC1COC(O1)(C)C,sweet,1.0
CC1=CC=C(C=C1)C(=C)C,citrus,1.0
C=CC1=CC=C(C=C1)O,vanilla,1.0
CCC(C(=O)C)O,no aroma,0.0
CC1=C(SC=N1)C,no aroma,0.0
CCC(=O)C(=O)CC,no aroma,0.0
CC(C)[C@@H]1CC[C@@]2([C@H]1[C@@H]3[C@H]2CCC3=C)C,woody,1.0
CC(C)CC(CC1=CC=CC=C1)O,sweet,1.0
CC(=CCCC(C)(C#C)O)C,moldy,0.0
CCCCOC(C)OCCC1=CC=CC=C1,leafy,0.0
CC(=C)C1=NC=CN=C1,nutty,1.0
CCC1CCC(O1)CC,caramellic,0.0
CC1(C2CCC1(C(C2)O)C)C,musty,0.0
CCC(=O)OC1=C(CCC1=O)C,caramellic; butter,0.0
CC(=CCC[C@@](C)(C=C)O)C,floral,1.0
CC(=C)C1CCC(=C)CC1,mint,0.0
C=CCC1=CC=C(C=C1)O,no aroma,0.0
C1=CC=C(C=C1)C(=O)N=C=S,no aroma,0.0
CC(=CC(=O)C(C)(C)C=C)C,grass,0.0
C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)O,fruity,1.0
CCCC1=CC=CC=N1,nutty,1.0
CC1=C(C=CC(=C1)O)C(=O)C,almond,1.0
CC1(CCCCC1)C(=O)O,cheese,0.0
CC(C)COC(CC1=CC=CC=C1)OCC(C)C,sweet; floral,1.0
C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O,bitter,0.0
C[C@@H]1CC[C@@H](CC2=C1CC[C@H]2C)C(C)(C)O,balsamic,0.0
COC(=O)C1=NC=CN=C1,peanut butter,0.0
C[C@]12CCCC(C1CC[C@@]([C@@H]2CC[C@](C)(C=C)O)(C)O)(C)C,herbaceous,0.0
C=C1CC[C@@H]2[C@@H]([C@@H]3[C@H]1CCC3=C)OC(=O)C2=C,no aroma,0.0
CCCCCOC(=O)C1=CC=CO1,herbaceous,0.0
CC(=O)OCCCC=C,fruity,1.0
CCOC1(CCCCC1)OCC,tobacco,0.0
C[C@@H]1CC[C@H]([C@H](C1)OC(=O)C)C(C)C,mint,0.0
CC1=CC=CC=C1SSC2=CC=CC=C2C,burnt sugar,0.0
CSCCCN,pungent,0.0
CCCC(=O)OC1=CC=CC=C1OC,fruity,1.0
CC1=CN=C(S1)C,nutty,1.0
CCCCCCN=C=S,grass,0.0
CC1=C(C(=O)C(CC1)C(C)C)O,mint,0.0
CC1=CC(=O)C(CC1)C(=C)C,mint,0.0
CC1=CSC=C1C,onion,0.0
CC1=C(C=C(C=C1)C(C)C)OC,carrot,0.0
CCCCCCCCC(=O)OCC1=CC=CC=C1,floral,1.0
CC1=CC(=C(C=C1)OC)C,herbaceous,0.0
C[C@@H](CCCC(=C)C)CCO,rose,1.0
CC(=O)CCC(=O)OCC1=CC=CC=C1,fruity,1.0
CC1=CC=C(S1)C(=O)C,sweet,1.0
CC(C)C1CCC(CC1)CO,grass,0.0
CCCCCCCCCCCC(OC)OC,citrus,1.0
CC1=CCC(CC1)C(C)CO,fruity,1.0
CCCCCC=CC=CCO,fatty,0.0
CCCCCC(CC)OC(=O)CCC,herbaceous,0.0
CC1CCC2=C(CCC(CC12)C(C)(C)O)C,spicy,1.0
CC1CCC2C1C3C(C3(C)C)CCC2=C,fruity,1.0
C[C@]12CCCC(=C)[C@@H]1C[C@@H](CC2)C(C)(C)O,sweet,1.0
CC1=CC=C(C=C1)C(C)CCC=C(C)C,herbaceous,0.0
CCCCC(=O)OCCC=CCC,apple,1.0
