SMILES,Odor,All_Matched_Categories,Major_Category
COC(=O)C1CCCCC1,"fruit, ester",Fruity,Fruity
COC(=O)C1=CC=CC=C1O,peppermint,Mint/Cool,Mint/Cool
COC(=O)C1=CC=CC=C1N,"honey, flower",Floral|Sweet/Vanilla/Caramel,Floral
COC(=O)C1=CC=CC=C1,"prune, lettuce, herb, sweet",Green/Herbal|Sweet/Vanilla/Caramel,Green/Herbal
COC(=O)/C=C/C1=CC=CC=C1,strawberry,Fruity,Fruity
CN(C)C,fish,Off-flavor,Off-flavor
CCSC,"sulfur, garlic",Sulfur/Allium,Sulfur/Allium
CCOC=O,pungent,Spicy,Spicy
CCOC(C)OCC,"fruit, cream",Fruity|Sweet/Vanilla/Caramel,Fruity
CCOC(=O)CCC1=CC=CC=C1,flower,Floral,Floral
CCOC(=O)CCC(C)C,fruit,Fruity,Fruity
CCOC(=O)CCC(C(=O)OCC)O,cotton candy,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCOC(=O)CCC(=O)OCC,"wine, fruit",Fruity|Off-flavor,Fruity
CCOC(=O)CC1=CC=CC=C1,"fruit, sweet",Fruity|Sweet/Vanilla/Caramel,Fruity
CCOC(=O)CC(C)O,marshmallow,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCOC(=O)CC(C)C,fruit,Fruity,Fruity
CCOC(=O)CC(C(=O)OCC)O,"brown sugar, sweet",Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCOC(=O)CC(=O)OCC,apple,Fruity,Fruity
CCOC(=O)C1CCCCC1,fruit,Fruity,Fruity
CCOC(=O)C1CCC(=O)O1,"roast, smoke",Roasted/Nutty/Toasty,Roasted/Nutty/Toasty
CCOC(=O)C1=CC=CC=C1O,"wintergreen, mint",Mint/Cool,Mint/Cool
CCOC(=O)C1=CC=CC=C1,"camomile, flower, celery, fruit",Fruity|Floral|Green/Herbal,Fruity
CCOC(=O)C1=CC(=C(C=C1)O)OC,"flower, fruit, sweet, vanilla",Fruity|Floral|Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCOC(=O)C(C)S,sulfur,Sulfur/Allium,Sulfur/Allium
CCOC(=O)C(C)O,fruit,Fruity,Fruity
CCOC(=O)C(C)C,"sweet, rubber",Sweet/Vanilla/Caramel|Off-flavor,Sweet/Vanilla/Caramel
CCOC(=O)C,pineapple,Fruity,Fruity
CCOC(=O)[C@@H]([C@H](C(=O)OCC)O)O,"earth, must",Off-flavor,Off-flavor
CCOC(=O)/C=C/C1=CC=CC=C1,"honey, cinnamon",Spicy|Sweet/Vanilla/Caramel,Spicy
CCO,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCOC(=O)CC,pineapple,Fruity,Fruity
CCCO,"alcohol, pungent",Spicy|Off-flavor,Spicy
CCCCOC(=O)C1=CC=CC=C1,balsamic,Woody/Resinous,Woody/Resinous
CCCCOC(=O)C,pear,Fruity,Fruity
CCCCO,"medicine, fruit",Fruity,Fruity
CCCCN=C=S,"sulfur, pungent, green",Green/Herbal|Spicy|Sulfur/Allium,Green/Herbal
CCCCCOC(=O)CCC,banana,Fruity,Fruity
CCCCCO,fruit,Fruity,Fruity
CCCCCCS,sulfur,Sulfur/Allium,Sulfur/Allium
CCCCCCOC(=O)CCCCC,"apple peel, peach",Fruity,Fruity
CCCCCCOC(=O)CCC,apple peel,Fruity,Fruity
CCCCCCOC(=O)C,"fruit, herb",Fruity|Green/Herbal,Fruity
CCCCCCO,"resin, flower, green",Floral|Green/Herbal|Woody/Resinous,Floral
CCCCCCCOC(=O)C(C)CC,apple,Fruity,Fruity
CCCCCCCO,herb,Green/Herbal,Green/Herbal
CCCCCCCCOC(=O)C,fruit,Fruity,Fruity
CCCCCCCCO,"moss, nut, mushroom",Roasted/Nutty/Toasty|Off-flavor,Roasted/Nutty/Toasty
CCCCCCCCCOC(=O)C,"sweet, fruit",Fruity|Sweet/Vanilla/Caramel,Fruity
CCCCCCCCCO,"fat, green",Green/Herbal|Fatty/Lipidic,Green/Herbal
CCCCCCCCCCO,fat,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCO,mandarin,Citrus,Citrus
CCCCCCCCCCCCO,"fat, wax",Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCO,must,,NA
CCCCCCCCCCCCCCO,coconut,Fruity,Fruity
CCCCCCCCCCCCCCCCO,"flower, wax",Floral|Fatty/Lipidic,Floral
CCCCCCCCCCCCCCCCCCO,oil,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCCCCCC=O,oil,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCCCC=O,cardboard,,NA
CCCCCCCCCCCCCCCC(=O)OCC,wax,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCCCC(=O)OC(C)C,fat,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCCC=O,fresh,Green/Herbal,Green/Herbal
CCCCCCCCCCCCCCC/C=C/C(=O)OC,fat,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCCC=O,"flower, wax",Floral|Fatty/Lipidic,Floral
CCCCCCCCCCCCCC(=O)OCC,ether,Off-flavor,Off-flavor
CCCCCCCCCCCCCC(=O)OC,orris,,NA
CCCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCCC=O,"flower, sweet, must",Floral|Sweet/Vanilla/Caramel,Floral
CCCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCC=O,"lily, fat, citrus",Citrus|Floral|Fatty/Lipidic,Citrus
CCCCCCCCCCCC(=O)OCCCC,oil,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCCC(=O)OCC,leaf,Green/Herbal,Green/Herbal
CCCCCCCCCCCC(=O)OC,"fat, coconut",Fruity|Fatty/Lipidic,Fruity
CCCCCCCCCCCC(=O)O,metal,Off-flavor,Off-flavor
CCCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCC=O,"oil, pungent, sweet",Spicy|Sweet/Vanilla/Caramel|Fatty/Lipidic,Spicy
CCCCCCCCCCC(=O)OCC,"cognac, coconut",Fruity,Fruity
CCCCCCCCCCC(=O)O,oil,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCC=O,"soap, orange peel, tallow",Citrus|Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCCC(=O)OCCCC,whiskey,,NA
CCCCCCCCCC(=O)OCC,grape,Fruity,Fruity
CCCCCCCCCC(=O)OC,wine,Off-flavor,Off-flavor
CCCCCCCCCC(=O)O,"rancid, fat",Fatty/Lipidic|Off-flavor,Fatty/Lipidic
CCCCCCCCCC(=O)C,"orange, fresh, green",Citrus|Green/Herbal,Green/Herbal
CCCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCC=O,"fat, citrus, green",Citrus|Green/Herbal|Fatty/Lipidic,Citrus
CCCCCCCCC=CC=O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCCCCCCCC/C=C/CO,oil,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCC/C=C/CCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCCC/C=C/C=O,"green, fat, sweet",Green/Herbal|Sweet/Vanilla/Caramel|Fatty/Lipidic,Green/Herbal
CCCCCCCCC(=O)OC,coconut,Fruity,Fruity
CCCCCCCCC(=O)O,"green, fat",Green/Herbal|Fatty/Lipidic,Green/Herbal
CCCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCC=O,"fat, soap, lemon, green",Citrus|Green/Herbal|Fatty/Lipidic,Fatty/Lipidic
CCCCCCCC/C=C\CCCCCCCC(=O)O,fat,Fatty/Lipidic,Fatty/Lipidic
CCCCCCCC/C=C/C=O,"soap, fat, green",Green/Herbal|Fatty/Lipidic,Fatty/Lipidic
CCCCCCCC(C)O,cucumber,Green/Herbal,Green/Herbal
CCCCCCCC(=O)OCCCCCC,"herb, green, oil",Green/Herbal|Fatty/Lipidic,Green/Herbal
CCCCCCCC(=O)OCCCC,fruit,Fruity,Fruity
CCCCCCCC(=O)OCC,"fruit, fat",Fruity|Fatty/Lipidic,Fruity
CCCCCCCC(=O)OC,orange,Citrus,Citrus
CCCCCCCC(=O)O,"sweat, cheese",Sweet/Vanilla/Caramel|Off-flavor,Sweet/Vanilla/Caramel
CCCCCCCC(=O)C,"hot milk, soap, green",Green/Herbal|Spicy|Sweet/Vanilla/Caramel|Fatty/Lipidic,Green/Herbal
CCCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCCC=O,"fat, citrus, rancid",Citrus|Fatty/Lipidic|Off-flavor,Citrus
CCCCCCC=CO,mushroom,Off-flavor,Off-flavor
CCCCCCC/C=C/C=O,tallow,Fatty/Lipidic,Fatty/Lipidic
CCCCCCC(C)O,"mushroom, fat",Fatty/Lipidic|Off-flavor,Fatty/Lipidic
CCCCCCC(=O)OCC,fruit,Fruity,Fruity
CCCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCCC1C(O1)C=CC=O,"metal, green",Green/Herbal|Off-flavor,Green/Herbal
CCCCCC1=CC=CS1,"sweet, fruit",Fruity|Sweet/Vanilla/Caramel,Fruity
CCCCCC1=CC=CO1,"green bean, butter",Green/Herbal|Sweet/Vanilla/Caramel,Green/Herbal
CCCCCC=O,"grass, tallow, fat",Green/Herbal|Fatty/Lipidic,Fatty/Lipidic
CCCCCC=CCC=O,cucumber,Green/Herbal,Green/Herbal
CCCCCC=CC=CC=O,"fried, fat",Fatty/Lipidic,Fatty/Lipidic
CCCCCC=CC(=O)OCC,"must, oil, fruit, pungent",Fruity|Spicy|Fatty/Lipidic,Fruity
CCCCCC=CC(=O)C,baked,Roasted/Nutty/Toasty,Roasted/Nutty/Toasty
CCCCCC/C=C/C=O,"orris, fat, cucumber",Green/Herbal|Fatty/Lipidic,Green/Herbal
CCCCCC(=O)OCCCC,fruit,Fruity,Fruity
CCCCCC(=O)OCCC,fruit,Fruity,Fruity
CCCCCC(=O)OCC/C=C\CC,"fruit, prune",Fruity,Fruity
CCCCCC(=O)OCC,"apple peel, fruit",Fruity,Fruity
CCCCCC(=O)OC(C)C,fresh,Green/Herbal,Green/Herbal
CCCCCC(=O)OC,"fruit, fresh, sweet",Fruity|Green/Herbal|Sweet/Vanilla/Caramel,Fruity
CCCCCC(=O)O,sweat,Off-flavor,Off-flavor
CCCCCC(=O)C,soap,Fatty/Lipidic,Fatty/Lipidic
CCCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCCC=O,"almond, malt, pungent",Spicy|Roasted/Nutty/Toasty,Spicy
CCCCC=COC(=O)C,"green, banana",Fruity|Green/Herbal,Fruity
CCCCC=CC=O,green,Green/Herbal,Green/Herbal
CCCCC=CC(=O)C,"mushroom, metal",Off-flavor,Off-flavor
CCCCC[C@H]1[C@H](CCC1=O)CC(=O)OC,jasmine,Floral,Floral
CCCCC/C=C\CCC=O,"green, must",Green/Herbal,Green/Herbal
CCCCC/C=C/C=O,"green, nut, fat",Green/Herbal|Roasted/Nutty/Toasty|Fatty/Lipidic,Green/Herbal
CCCCC/C=C/C=C/O,cucumber,Green/Herbal,Green/Herbal
CCCCC/C=C/C=C/C=O,seaweed,Off-flavor,Off-flavor
CCCCC(CC)CO,"rose, green",Floral|Green/Herbal,Floral
CCCCC(=O)OCCC(C)CCC=C(C)C,"warm, honey, herb, rose",Floral|Green/Herbal|Sweet/Vanilla/Caramel,Floral
CCCCC(=O)OCC,"yeast, fruit",Fruity|Off-flavor,Fruity
CCCCC(=O)OC/C=C(\C)/CCC=C(C)C,"rose, fruit",Fruity|Floral,Fruity
CCCCC(=O)OC(C)(CCC=C(C)C)C=C,"citrus, lavender",Citrus|Floral,Citrus
CCCCC(=O)O,sweat,Off-flavor,Off-flavor
CCCCC(=O)C,"ether, grape",Fruity|Off-flavor,Fruity
CCCCC(=C(C)C=O)C,"fruit, green, melon",Fruity|Green/Herbal,Fruity
CCCCC,alkane,Fatty/Lipidic,Fatty/Lipidic
CCCC1CCCC(=O)O1,peach,Fruity,Fruity
CCCC1=CC(=C(C=C1)O)OC,phenol,Off-flavor,Off-flavor
CCCC=O,"pungent, green",Green/Herbal|Spicy,Green/Herbal
CCCC=CC(=O)C,metal,Off-flavor,Off-flavor
CCCC[C@H]1[C@H](CC(=O)O1)C,coconut,Fruity,Fruity
CCCC/C=C\C=C\C=O,"geranium, pungent",Floral|Spicy,Floral
CCCC/C=C/C=O,"soap, fat, almond",Roasted/Nutty/Toasty|Fatty/Lipidic,Fatty/Lipidic
CCCC/C=C/C=C/C=O,watermelon,Fruity,Fruity
CCCC/C=C/C(=O)C,"nut, crushed bug",Roasted/Nutty/Toasty,Roasted/Nutty/Toasty
CCCC(O)O,"fruit, onion",Fruity|Sulfur/Allium,Fruity
CCCC(CS)OC=O,"cat, roast",Roasted/Nutty/Toasty,Roasted/Nutty/Toasty
CCCC(CCO)S,sulfur,Sulfur/Allium,Sulfur/Allium
CCCC(C)O,green,Green/Herbal,Green/Herbal
CCCC(=O)OCCC(C)CCC=C(C)C,"fruit, sweet, rose",Fruity|Floral|Sweet/Vanilla/Caramel,Fruity
CCCC(=O)OCCC,"pineapple, solvent",Fruity|Off-flavor,Fruity
CCCC(=O)OCC1=CC=CC=C1,plum,Fruity,Fruity
CCCC(=O)OCC/C=C\CC,"wine, green",Green/Herbal|Off-flavor,Green/Herbal
CCCC(=O)OCC,apple,Fruity,Fruity
CCCC(=O)OC/C=C(\C)/CCC=C(C)C,"fruit, rose, apple",Fruity|Floral,Fruity
CCCC(=O)OC(C)C,"pungent, fruit",Fruity|Spicy,Fruity
CCCC(=O)OC(C)(CCC=C(C)C)C=C,"pear, sweet",Fruity|Sweet/Vanilla/Caramel,Fruity
CCCC(=O)OC,"ether, fruit, sweet",Fruity|Sweet/Vanilla/Caramel|Off-flavor,Fruity
CCCC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,"herb, wood",Green/Herbal|Woody/Resinous,Green/Herbal
CCCC(=O)O,"rancid, cheese, sweat",Sweet/Vanilla/Caramel|Off-flavor,Off-flavor
CCCC(=O)CCS,black currant,,NA
CCCC(=O)C,ether,Off-flavor,Off-flavor
CCC1CCC(=O)O1,"coumarin, sweet",Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCC1C(=O)C(=CO1)CO,caramel,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCC1C(=O)C(=C(O1)C)O,caramel,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCC1C(=C(C(=O)O1)O)C,spice,Spicy,Spicy
CCC1=NC(=CN=C1C)C,"potato, roast",Roasted/Nutty/Toasty|Off-flavor,Roasted/Nutty/Toasty
CCC1=CN=C(C(=N1)C)C,potato,Off-flavor,Off-flavor
CCC1=CC=CC=N1,grass,Green/Herbal,Green/Herbal
CCC1=CC=CC=C1O,must,,NA
CCC1=CC=CC=C1C=O,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCC1=CC(=C(C=C1)O)OC,"spice, clove",Spicy,Spicy
CCC=O,"solvent, pungent",Spicy|Off-flavor,Spicy
CCC=CCCC=O,"biscuit, cream",Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCC=CCCC=CC=O,"cucumber, wax, green",Green/Herbal|Fatty/Lipidic,Green/Herbal
CCC=CCC(C=C)O,"earth, herb",Green/Herbal|Off-flavor,Green/Herbal
CCC=CC=CC(=O)C,"fruit, fat, mushroom",Fruity|Fatty/Lipidic|Off-flavor,Fruity
CCC=CC(=O)C,"cooked vegetable, metal",Off-flavor,Off-flavor
CCC/C=C/CO,"leaf, green, wine, fruit",Fruity|Green/Herbal|Off-flavor,Green/Herbal
CCC/C=C/CCCCC=O,"tallow, green",Green/Herbal|Fatty/Lipidic,Green/Herbal
CCC/C=C/C=O,"apple, green",Fruity|Green/Herbal,Fruity
CCC/C=C/C=C/C=O,"green, seaweed, cucumber",Green/Herbal|Off-flavor,Green/Herbal
CCC/C=C/C(=O)O,"must, fat",Fatty/Lipidic,Fatty/Lipidic
CCC(O)OCC,fruit,Fruity,Fruity
CCC(CC=C)C(=O)CC,fish,Off-flavor,Off-flavor
CCC(C)COC(=O)C,fruit,Fruity,Fruity
CCC(C)CO,malt,,NA
CCC(C)CCCO,sweat,Off-flavor,Off-flavor
CCC(C)C(=O)O,"cheese, sweat",Sweet/Vanilla/Caramel|Off-flavor,Sweet/Vanilla/Caramel
CCC(C)(CCC=C(C)C)O,"wood, citrus, camphor",Citrus|Mint/Cool|Woody/Resinous,Citrus
CCC(C)(C#C)O,pungent,Spicy,Spicy
CCC(=O)OCC,fruit,Fruity,Fruity
CCC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,"fruit, turpentine",Fruity|Mint/Cool,Fruity
CCC(=O)O,"pungent, rancid, soy",Spicy|Off-flavor,Spicy
CCC(=O)CS,onion,Sulfur/Allium,Sulfur/Allium
CCC(=O)C(=O)C,"cream, butter",Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CCC(=O)C,ether,Off-flavor,Off-flavor
CC1CCC2C13CC(C2(C)C)C(=C)C(C3)O,fruit,Fruity,Fruity
CC1CCC2=C(CCC(CC12)C(C)(C)O)C,spice,Spicy,Spicy
CC1CCC(CC1OC(=O)C)C(=C)C,"mint, camphor, medicine",Mint/Cool,Mint/Cool
CC1CCC(CC1O)C(=C)C,"mint, spice",Mint/Cool|Spicy,Mint/Cool
CC1CCC(CC1)C(C)(C)OC(=O)C,"pine, citrus",Citrus|Woody/Resinous,Citrus
CC1CCC(C2C1=CC(C(=C2)C)O)C(C)C,"wood, spice",Woody/Resinous|Spicy,Woody/Resinous
CC1C(=C(C(=O)O1)O)C,"cotton candy, spice, maple",Spicy|Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC1=NC=CN=C1,popcorn,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC1=CSC=N1,roasted meat,Roasted/Nutty/Toasty|Off-flavor,Roasted/Nutty/Toasty
CC1=CNC2=CC=CC=C12,"mothball, fecal",Off-flavor,Off-flavor
CC1=CN=C(C=N1)C(C)C,sweat,Off-flavor,Off-flavor
CC1=CCOC(C1)C=C(C)C,"oil, flower",Floral|Fatty/Lipidic,Floral
CC1=CCC2CC1(C2(C)C)O,"must, dust",,NA
CC1=CCC(CC1OC(=O)C)C(=C)C,"green, spearmint",Green/Herbal|Mint/Cool,Green/Herbal
CC1=CCC(CC1O)C(=C)C,"fresh, spearmint, caraway",Green/Herbal|Mint/Cool,Green/Herbal
CC1=CCC(CC1=O)C(=C)C,"mint, basil, fennel",Green/Herbal|Mint/Cool,Green/Herbal
CC1=CCC(CC1)C(C)COC(=O)C,"fruit, herb",Fruity|Green/Herbal,Fruity
CC1=CCC(CC1)C(C)CO,"fruit, herb",Fruity|Green/Herbal,Fruity
CC1=CCC(CC1)C(C)(C)OC(=O)C,wax,Fatty/Lipidic,Fatty/Lipidic
CC1=CCC(CC1)C(=C)C,"lemon, orange",Citrus,Citrus
CC1=CCC(CC1)(C(C)C)O,"turpentine, nutmeg, must",Mint/Cool|Spicy,Mint/Cool
CC1=CC2=C(C=C1)C=C(C=C2)C,grass,Green/Herbal,Green/Herbal
CC1=CC2=C(C=C1)C(CC=C2)(C)C,licorice,Spicy,Spicy
CC1=CC=CC=N1,sweat,Off-flavor,Off-flavor
CC1=CC=CC=C1O,phenol,Off-flavor,Off-flavor
CC1=CC=CC=C1C,geranium,Floral,Floral
CC1=CC=CC=C1,paint,Off-flavor,Off-flavor
CC1=CC=C(O1)C=O,"almond, caramel, burnt sugar",Roasted/Nutty/Toasty|Sweet/Vanilla/Caramel,Roasted/Nutty/Toasty
CC1=CC=C(CC1)C(=C)C,turpentine,Mint/Cool,Mint/Cool
CC1=CC=C(C=C1)O,"medicine, phenol, smoke",Roasted/Nutty/Toasty|Off-flavor,Roasted/Nutty/Toasty
CC1=CC=C(C=C1)C(C)C,"solvent, gasoline, citrus",Citrus|Off-flavor,Off-flavor
CC1=CC=C(C=C1)C(C)(C)O,"citrus, must",Citrus,Citrus
CC1=CC=C(C=C1)C(=O)C,bitter almond,Roasted/Nutty/Toasty|Bitter,Roasted/Nutty/Toasty
CC1=CC[C@H](CC1=O)C(=C)C,mint,Mint/Cool,Mint/Cool
CC1=CC[C@H](CC1)[C@](C)(CCC=C(C)C)O,herb,Green/Herbal,Green/Herbal
CC1=CC[C@H](C[C@@H]1O)C(=C)C,"caraway, solvent",Off-flavor,Off-flavor
CC1=CC[C@@H](CC1=O)C(=C)C,caraway,,NA
CC1=CC(C(CC1)C(C)C)O,herb,Green/Herbal,Green/Herbal
CC1=CC(=O)C(CC1)C(C)C,"mint, fresh",Green/Herbal|Mint/Cool,Green/Herbal
CC1=CC(=CC=C1)O,"fecal, plastic",Off-flavor,Off-flavor
CC1=CC(=CC=C1)C,plastic,Off-flavor,Off-flavor
CC1=CC(=C(C=C1C)C)C,"rancid, sweet",Sweet/Vanilla/Caramel|Off-flavor,Sweet/Vanilla/Caramel
CC1=CC(=C(C=C1)C)C,plastic,Off-flavor,Off-flavor
CC1=C2C[C@@H](CC[C@]2(CCC1)C)C(C)(C)O,"wax, sweet",Sweet/Vanilla/Caramel|Fatty/Lipidic,Sweet/Vanilla/Caramel
CC1=C[C@H]2[C@@H](CC[C@]([C@H]2CC1)(C)O)C(C)C,"herb, weak spice",Green/Herbal|Spicy,Green/Herbal
CC1=C(SC=N1)CCO,sulfur,Sulfur/Allium,Sulfur/Allium
CC1=C(SC(=N1)C)C,earth,Off-flavor,Off-flavor
CC1=C(OC=C1)S,meat,Off-flavor,Off-flavor
CC1=C(C=CO1)SSC2=C(OC=C2)C,roasted meat,Roasted/Nutty/Toasty|Off-flavor,Roasted/Nutty/Toasty
CC1=C(C=CO1)SC(=O)C,roasted meat,Roasted/Nutty/Toasty|Off-flavor,Roasted/Nutty/Toasty
CC1=C(C(CC=C1)(C)C)C=O,"herb, sweet",Green/Herbal|Sweet/Vanilla/Caramel,Green/Herbal
CC1=C(C(=O)CO1)O,caramel,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC1=C(C(=O)C=CO1)O,caramel,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC1=C(C(=CC=C1)OC)OC,hummus,,NA
CC1(COC(=O)[C@@H]1O)C,cotton candy,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
CC1(CCC(O1)C(C)(C)O)C=C,flower,Floral,Floral
CC1(C2CCC1(C(C2)OC=O)C)C,green,Green/Herbal,Green/Herbal
CC1(C2CCC1(C(C2)OC)C)C,"earth, must",Off-flavor,Off-flavor
CC1(C2CCC1(C(C2)O)C)C,camphor,Mint/Cool,Mint/Cool
CC1(C2CCC1(C(=O)C2)C)C,camphor,Mint/Cool,Mint/Cool
CC1(C2CCC(O1)(CC2)C)C,"mint, sweet",Mint/Cool|Sweet/Vanilla/Caramel,Mint/Cool
CC1(C2CCC(O1)(C=C2)C)C,"mint, lemon",Citrus|Mint/Cool,Citrus
CC1(C2CCC(C2)C1=C)C,camphor,Mint/Cool,Mint/Cool
CC1(C2CCC(C2)C1(C)O)C,camphor,Mint/Cool,Mint/Cool
CC1(C2CCC(C2)(C1O)C)C,camphor,Mint/Cool,Mint/Cool
CC1(C2CC1C(=C)C(C2)O)C,flower,Floral,Floral
CC1(C2CC=C(C1C2)C=O)C,spice,Spicy,Spicy
